,time,average,size
70,7.6823506355285645,4.761946285274667,704457
71,7.682610511779785,4.802511066198349,697659
72,7.68239426612854,4.841961520991913,703757
73,7.682395696640015,4.880345766608779,701838
74,7.682513475418091,4.917708002726237,695684
75,7.682771921157837,4.9540904227056,701013
76,7.682788133621216,4.989528055314894,707445
77,7.683037281036377,5.024060224875425,697308
78,7.6834752559661865,5.057723706281638,695452
79,7.6835551261901855,5.090546599030494,690481
80,8.988304138183594,5.138667062476829,695205
81,8.988451719284058,5.185615655852527,699694
82,8.989665746688843,5.231447584657784,691999
83,8.989958047866821,5.276191756838844,681631
84,8.990159273147583,5.319885492324829,687417
85,8.990340232849121,5.362565198609995,681395
86,8.990798473358154,5.404269029354227,689951
87,8.990906238555908,5.445026270367882,692492
88,8.99109411239624,5.484869729267078,693829
89,8.991472482681274,5.523831982082791,685558
90,8.99191403388977,5.561942773860889,691333
91,8.992027759552002,5.599226306314054,686976
92,8.992402076721191,5.635712067286174,686264
93,8.992470026016235,5.671422258336493,688734
94,8.992424726486206,5.706380179053859,693586
95,8.992739200592041,5.7406130855282145,697621
96,8.993036270141602,5.774143221452064,697128
97,10.289455652236938,5.820217838092726,691007
98,10.289795160293579,5.865365083771523,697868
99,10.29554295539856,5.909666862487793,695719
100,10.295849561691284,5.953094413965055,705877
101,10.296038627624512,5.995672298412697,698912
102,10.296334266662598,6.037426298104443,695314
103,10.296578168869019,6.0783796814771796,709844
104,10.296741724014282,6.118554558072772,703537
105,10.296914100646973,6.157973044323471,693400
106,10.2971351146698,6.196656801990259,694279
107,10.29732632637024,6.234625964253037,700606
108,10.297546148300171,6.271900461354387,694646
109,10.29792857170105,6.3085007169029925,702035
110,10.298454284667969,6.344446244540515,701131
111,10.298620462417603,6.379751371485846,709057
112,10.29895806312561,6.414434616544606,701128
113,11.592666149139404,6.459857700163858,697248
114,11.599588871002197,6.504551014692887,700375
115,11.59965467453003,6.548474322105276,702510
116,11.600188732147217,6.591651368344951,701890
117,11.600461483001709,6.6340989116895,704939
118,11.600713968276978,6.675835172669227,703526
119,11.600979328155518,6.716878040631612,710089
120,11.601161241531372,6.757244017498552,694513
121,11.60167384147644,6.796952458678699,700575
122,11.6026771068573,6.836023390777712,696795
123,11.603172063827515,6.874468138141017,701762
124,11.603300333023071,6.912298795700074,699210
125,11.603837490081787,6.9495332297824675,703105
126,11.603965044021606,6.986182299185925,701392
