,Kafka,,RabbitMQ,,
,time,average,time,average,size
48,6.38157677650452,3.84869635348417,3.99266052246094,2.09476089964108,697844
49,6.38193273544312,3.89936108112335,4.06827425956726,2.1342311668396,691421
50,6.38254332542419,3.94805092905082,4.1457953453064,2.1736736017115,703209
51,6.38262939453125,3.99486974569467,4.22195816040039,2.21306368937859,696416
52,6.38271594047546,4.03992344748299,4.29762005805969,2.25239494161786,694409
53,6.38278150558472,4.08330970781821,4.37336373329163,2.29167214146367,693313
54,6.38298344612122,4.12512195760554,4.44917583465576,2.33089948133989,687986
55,6.38307666778564,4.16544257743018,4.5238721370697,2.37005970733506,683095
56,6.38358688354492,4.20435738981816,4.60033464431763,2.40918733780844,693341
57,6.38353943824768,4.24192949410143,4.67585396766663,2.44826779694393,686515
58,6.38358378410339,4.2782287193557,4.75132417678833,2.4873026508396,688345
59,6.3836236000061,4.3133186340332,4.82704472541809,2.52629835208257,688729
60,6.38377571105957,4.34726055332872,4.90315556526184,2.56526322442977,691457
61,6.38422131538391,4.38011475916832,4.97847533226013,2.60418600036252,684710
62,6.38414168357849,4.41192471034943,5.05479550361633,2.64308456390623,693827
63,6.38402390480042,4.44273876026273,5.13191652297974,2.68197256326675,700567
64,7.67589569091797,4.49247963611896,5.21021342277527,2.72086857648996,709107
65,7.67632508277893,4.54071971864411,5.28548240661621,2.75972636179491,696806
66,7.68173742294312,4.58760057990231,5.36228775978088,2.79857056176484,699523
67,7.68210482597351,4.63310799528571,5.43830513954163,2.83739018790862,692506
68,7.68224501609802,4.67729838689168,5.51594758033752,2.87620986026266,704289
69,7.68224692344666,4.72022622312818,5.59367918968201,2.91503085068294,706856
70,7.68235063552856,4.76194628527467,5.68282413482666,2.95401385468496,704457
71,7.68261051177979,4.80251106619835,5.756263256073,2.9929339852598,697659
72,7.68239426612854,4.84196152099191,5.83399796485901,3.03185266991184,703757
73,7.68239569664001,4.88034576660878,5.91076588630676,3.07075690256583,701838
74,7.68251347541809,4.91770800272624,5.98737668991089,3.10964516639709,695684
75,7.68277192115784,4.9540904227056,6.06458306312561,3.14852592819615,701013
76,7.68278813362122,4.98952805531489,6.14240765571594,3.18740750907303,707445
77,7.68303728103638,5.02406022487543,6.21872353553772,3.22627053505335,697308
78,7.68347525596619,5.05772370628164,6.29487872123718,3.26511367665061,695452
79,7.68355512619019,5.09054659903049,6.37098741531372,3.3039370983839,690481
80,8.98830413818359,5.13866706247683,6.44720911979675,3.34274292580875,695205
81,8.98845171928406,5.18561565585253,6.5241105556488,3.38154009202632,699694
82,8.98966574668884,5.23144758465778,6.6000714302063,3.42031757802848,691999
83,8.98995804786682,5.27619175683884,6.67506289482117,3.45906454608554,681631
84,8.99015927314758,5.31988549232483,6.75046324729919,3.49778688374688,687417
85,8.99034023284912,5.36256519861,6.82518672943115,3.53647757962693,681395
86,8.99079847335815,5.40426902935423,6.90065121650696,3.5751462421198,689951
87,8.99090623855591,5.44502627036788,6.97649884223938,3.61379797621207,692492
88,8.99109411239624,5.48486972926708,7.05296516418457,3.65244030416682,693829
89,8.99147248268127,5.52383198208279,7.12770056724548,3.69105430708991,685558
90,8.99191403388977,5.56194277386089,7.20329189300537,3.72965032451755,691333
91,8.992027759552,5.59922630631405,7.27878975868225,3.76822792706282,686976
92,8.99240207672119,5.63571206728617,7.35441470146179,3.80678907517464,686264
93,8.99247002601624,5.67142225833649,7.43011617660522,3.84533510816858,688734
94,8.99242472648621,5.70638017905386,7.50629830360413,3.88387156285738,693586
95,8.99273920059204,5.74061308552821,7.5831606388092,3.92240582406521,697621
96,8.9930362701416,5.77414322145206,7.6598584651947,3.96093626366448,697128
97,10.2894556522369,5.82021783809273,7.7357542514801,3.99945481456056,691007
98,10.2897951602936,5.86536508377152,7.81257295608521,4.03797115942445,697868
99,10.2955429553986,5.90966686248779,7.88904476165772,4.07648189544678,695719
100,10.2958495616913,5.95309441396506,7.96677780151367,4.11499967669496,705877
101,10.2960386276245,5.9956722984127,8.04315948486328,4.15351104736328,698912
102,10.2963342666626,6.03742629810444,8.11877655982971,4.19200877078529,695314
103,10.296578168869,6.07837968147718,8.19685554504395,4.23051691284547,709844
104,10.2967417240143,6.11855455807277,8.27452683448792,4.26903129305158,703537
105,10.296914100647,6.15797304432347,8.35070776939392,4.30753767490387,693400
106,10.2971351146698,6.19665680199026,8.42708301544189,4.34603809864722,694279
107,10.2973263263702,6.23462596425304,8.50403046607971,4.38453802797529,700606
108,10.2975461483002,6.27190046135439,8.58034467697144,4.42303166695691,694646
109,10.2979285717011,6.30850071690299,8.65753221511841,4.46152712648565,702035
